cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_446	2	2	-	5	2	-	-	3	0	-	5	-
cell_447	-	2	0	5	2	-	7	3	3	3	-	3
cell_448	2	2	0	5	2	13	7	3	3	3	5	3
cell_449	5	2	0	4	-	-	7	3	2	3	-	3
cell_450	0	2	-	4	5	2	-	3	2	3	5	3
cell_451	3	-	0	4	5	2	7	3	2	-	5	3
cell_452	0	-	0	4	5	2	-	-	2	3	5	3
cell_453	0	2	3	4	5	2	7	3	2	3	5	3
cell_454	0	2	3	4	-	2	7	3	2	3	5	-
cell_455	5	-	3	4	5	2	7	-	2	3	-	3
cell_456	0	2	3	4	5	-	7	3	-	3	-	3
cell_457	0	2	3	4	5	2	7	3	2	3	5	3
cell_458	0	2	-	4	5	2	-	3	-	3	-	3
cell_459	2	2	-	4	-	-	7	3	-	3	5	3
cell_460	2	2	3	-	-	2	7	3	2	-	5	3
cell_461	0	2	-	4	5	-	7	3	2	3	5	3
cell_462	0	2	3	4	5	2	-	3	-	3	-	3
cell_463	0	2	3	-	5	2	7	-	-	3	5	3
cell_464	-	2	3	4	-	-	-	3	2	-	5	-
cell_465	67	2	6	29	5	2	7	3	-	3	5	3
cell_466	67	2	0	29	-	2	7	3	-	3	5	3
cell_467	-	-	-	29	5	2	7	3	-	3	5	3
cell_468	0	2	0	-	5	2	7	3	2	3	5	3
cell_469	3	2	0	29	-	-	-	3	-	3	5	3
cell_470	-	2	0	-	5	2	-	3	2	-	5	3
cell_471	3	2	0	-	5	-	7	3	2	3	5	3
